order,heading,roll,pitch,ax,ay,az
384,359.75,1.1875,25.5,0.01,0.0,-0.04
385,359.75,1.1875,25.5,0.01,-0.01,-0.04
386,359.75,1.1875,25.5,0.0,0.0,-0.03
387,359.75,1.1875,25.5,0.0,0.0,-0.03
388,359.75,1.1875,25.5,0.0,-0.01,-0.01
389,359.75,1.1875,25.5,0.01,0.0,-0.01
390,359.75,1.1875,25.5,0.0,0.0,-0.02
391,359.75,1.1875,25.5,0.0,0.0,-0.02
392,359.75,1.1875,25.5,0.01,-0.02,0.0
393,359.75,1.1875,25.5,0.01,0.0,-0.03
394,359.75,1.1875,25.5,0.01,0.0,-0.03
395,359.75,1.1875,25.5,0.01,0.0,-0.01
396,359.75,1.1875,25.5,0.01,-0.01,-0.03
397,359.75,1.1875,25.5,0.01,0.0,-0.03
398,359.75,1.1875,25.5,0.01,0.0,-0.03
399,359.75,1.1875,25.5,0.01,0.0,-0.04
400,359.75,1.1875,25.5,0.01,0.0,-0.04
401,359.75,1.1875,25.5,0.01,0.0,-0.04
402,359.75,1.1875,25.5,0.04,0.0,-0.01
403,359.75,1.1875,25.5,0.02,0.0,-0.03
404,359.75,1.1875,25.5,0.0,-0.01,-0.03
405,359.75,1.1875,25.5,0.0,-0.01,-0.03
406,359.75,1.1875,25.5,0.01,0.0,-0.03
407,359.75,1.1875,25.5,0.01,0.0,-0.03
408,359.75,1.1875,25.5,0.0,-0.02,-0.04
409,359.75,1.1875,25.5,0.02,0.0,-0.03
410,359.75,1.1875,25.5,0.0,0.0,-0.02
411,359.75,1.1875,25.5,0.0,0.0,-0.02
412,359.75,1.1875,25.5,0.01,0.0,-0.02
413,359.75,1.1875,25.5,0.01,0.0,-0.02
414,359.75,1.1875,25.5,0.01,0.0,-0.04
415,359.75,1.1875,25.5,0.01,-0.01,-0.01
416,359.75,1.1875,25.5,0.01,-0.01,-0.01
417,359.75,1.1875,25.5,0.01,0.0,-0.04
418,359.75,1.1875,25.5,0.01,-0.01,0.0
419,359.75,1.1875,25.5,0.01,-0.02,-0.03
420,359.75,1.1875,25.5,0.01,-0.02,-0.03
421,359.75,1.1875,25.5,0.0,0.0,-0.05
422,359.75,1.1875,25.5,0.02,0.0,-0.03
